Song URL,Song title,Album title,Artist names
https://music.youtube.com/watch?v=GrpZJct-3WM,All Around the World,Time Flies... 1994-2009,Oasis
https://music.youtube.com/watch?v=4sajgWgUyHY,BRB / Kiss,Make Out,LANY
https://music.youtube.com/watch?v=BUy274Xzk9c,Burgh Island,The Burgh Island,Ben Howard
https://music.youtube.com/watch?v=-mGleRitgQc,Electric Feel (Video Mix),Electric Feel,MGMT
https://music.youtube.com/watch?v=0-u51eRb-MY,Everything Everywhere Matters To Everything,City of the Sun,City Of The Sun
https://music.youtube.com/watch?v=fd6oK06Et2o,Fifteen (Oxford Remix),Fifteen (Oxford Remix),Goldroom
https://music.youtube.com/watch?v=L-jxuQSp0qA,Give You Up (Darius Remix),Crayon - Give You Up,Crayon
https://music.youtube.com/watch?v=6esSUQwO-rM,Howling (Âme Remix),Howling (Âme Remix),Howling
https://music.youtube.com/watch?v=VSXJkvQOLP0,Love Yourz,2014 Forest Hills Drive,J. Cole
https://music.youtube.com/watch?v=P4ct6qgkTzA,Lovely,Lovely,Bleedingxheart
https://music.youtube.com/watch?v=H8tmcxn99EE,Never Goodbye,Hostiles (Original Motion Picture Soundtrack),Max Richter
https://music.youtube.com/watch?v=ndCI8DIM86w,the remedy for a broken heart (why am I so in love),?,XXXTENTACION
https://music.youtube.com/watch?v=73UkSjxbr3A,Waikiki,,Deep Chills
