Title,Note,URL,Comment
100 Montaditos,,https://www.google.com/maps/place/100+Montaditos/data=!4m2!3m1!1s0xd19348736d8920d:0xc15c9083073bbd28,
Louvre Museum,,https://www.google.com/maps/place/Louvre+Museum/data=!4m2!3m1!1s0x47e671d877937b0f:0xb975fcfa192f84d4,
Villette,,https://www.google.com/maps/place/Villette/data=!4m2!3m1!1s0x47e66dd75390f999:0x7214db08363c60a1,
Carnavalet Museum,,https://www.google.com/maps/place/Carnavalet+Museum/data=!4m2!3m1!1s0x47e66e00f9521b7d:0xc8c16b75253918c1,
Musée de l'Orangerie,,https://www.google.com/maps/place/Mus%C3%A9e+de+l'Orangerie/data=!4m2!3m1!1s0x47e66e2eeaaaaaa3:0xdc3fd08aa701960a,
Hôtel de Ville,,https://www.google.com/maps/place/H%C3%B4tel+de+Ville/data=!4m2!3m1!1s0x47e66e1dc0611361:0x3df254a015ae71ea,
Arc de Triomphe,,https://www.google.com/maps/place/Arc+de+Triomphe/data=!4m2!3m1!1s0x47e66fec70fb1d8f:0xd9b5676e112e643d,
Paris Philharmonic,,https://www.google.com/maps/place/Paris+Philharmonic/data=!4m2!3m1!1s0x47e66db5d902523f:0x11ee5b6466fb6236,
Conciergerie,,https://www.google.com/maps/place/Conciergerie/data=!4m2!3m1!1s0x47e66e1fd8767d47:0x90ca4b466cb6316a,
Metiers Art Museum,,https://www.google.com/maps/place/Metiers+Art+Museum/data=!4m2!3m1!1s0x47e66e1aa6c84435:0x772045ec563b1de2,
Quai Branly,,https://www.google.com/maps/place/Quai+Branly/data=!4m2!3m1!1s0x47e66fe1eb28c86b:0x353ceb7b017ef25a,
Gaité Lyrique,,https://www.google.com/maps/place/Gait%C3%A9+Lyrique/data=!4m2!3m1!1s0x47e66e1088588271:0x7d95ac3236605c3a,
